Gene,Population,Pop_Short,n_variants,mean_AF,alpha,beta,converged
APOE,African/African American,AFR,221,0.005694159465020089,0.134379836896645,12.810238176032247,TRUE
APOE,Admixed American,AMR,179,0.004052021235759971,0.15761670132319933,28.768805670226108,TRUE
APOE,Ashkenazi Jewish,ASJ,31,0.027208641375600445,0.1494922528665528,4.225679867684254,TRUE
APOE,East Asian,EAS,144,0.0042151009692749,0.1689397672438004,33.625962445378576,TRUE
APOE,European (Finnish),FIN,78,0.012593021363426148,0.12967557940256663,6.815694294999283,TRUE
APOE,Middle Eastern,MID,61,0.011936466586330729,0.2006410521984699,12.825816619858907,TRUE
APOE,European (non-Finnish),NFE,961,9.215983404645524e-4,0.12449044529447231,93.42929929484444,TRUE
APOE,Amish,AMI,3,0.28153235653235653,NA,NA,FALSE
APOE,South Asian,SAS,264,0.002705748861067993,0.15458464139327266,43.94003017883689,TRUE
APOE,Remaining,REM,267,0.00319004653954489,0.1576653795224343,35.33703660127074,TRUE
CYP2C19,African/African American,AFR,384,0.00777033787790714,0.13173878312135429,6.975054820210003,TRUE
CYP2C19,Admixed American,AMR,357,0.006833299742657987,0.13308991731328737,7.354822294835049,TRUE
CYP2C19,Ashkenazi Jewish,ASJ,53,0.04537422475446476,0.1311301814394346,1.6217116747711686,TRUE
CYP2C19,East Asian,EAS,241,0.013843924674970271,0.1267155240702024,4.764802879550761,TRUE
CYP2C19,European (Finnish),FIN,105,0.025545070092604986,0.11492662619432721,2.225779578953064,TRUE
CYP2C19,Middle Eastern,MID,116,0.020408213216436107,0.16320897522802802,3.733855736800135,TRUE
CYP2C19,European (non-Finnish),NFE,1527,0.0016579997312943808,0.10988243773292175,27.462288101536526,TRUE
CYP2C19,Amish,AMI,8,0.3405023978214768,NA,NA,FALSE
CYP2C19,South Asian,SAS,480,0.006648551880273193,0.1298005203964367,10.731147663892553,TRUE
CYP2C19,Remaining,REM,428,0.006140219388866233,0.13401986455595308,9.674933868891669,TRUE
HLA-B,African/African American,AFR,425,0.042053628362289125,0.18233051941121436,3.9306549008173852,TRUE
HLA-B,Admixed American,AMR,384,0.05805167355460114,0.18472000351051582,2.6971902472945515,TRUE
HLA-B,Ashkenazi Jewish,ASJ,294,0.08951013324951357,0.219815156043211,2.0327285470407617,TRUE
HLA-B,East Asian,EAS,356,0.06636650588217423,0.18560624341503473,2.474609767453496,TRUE
HLA-B,European (Finnish),FIN,394,0.038733930375652204,0.17602282992860635,4.101180313591584,TRUE
HLA-B,Middle Eastern,MID,232,0.10704046371035447,0.3263888122991623,2.506674637673563,TRUE
HLA-B,European (non-Finnish),NFE,1294,0.013250814735237995,0.1094373085844514,7.0159421300299085,TRUE
HLA-B,Amish,AMI,130,0.1338906664203249,0.47847361906012487,2.9447181059495415,TRUE
HLA-B,South Asian,SAS,578,0.04670787773616259,0.1474623158443068,2.580962847965572,TRUE
HLA-B,Remaining,REM,421,0.046411690782417886,0.18033264173657562,3.429671015261616,TRUE
