Gene,Population,count,mean,std,min,25%,50%,75%,max
APOE,Admixed American,1421,5.10423505419444e-4,0.015198104203001692,0,0,0,0,0.5618621220874254
APOE,African/African American,1421,8.85580043468999e-4,0.02371822971462672,0,0,0,0,0.8596255859856896
APOE,Amish,1421,5.943680996460671e-4,0.018820985477737216,0,0,0,0,0.6962719298245614
APOE,Ashkenazi Jewish,1421,5.935734571735472e-4,0.017041987860538767,0,0,0,0,0.6267479760277573
APOE,East Asian,1421,4.271460517773276e-4,0.011332894109217775,0,0,0,0,0.4114433582518689
APOE,European (Finnish),1421,6.912425519684949e-4,0.020039105169350216,0,0,0,0,0.7291721766728378
APOE,European (non-Finnish),1421,6.232624948532259e-4,0.017606443869636723,0,0,8.621462613889521e-7,2.5428297287309245e-6,0.6417964832791331
APOE,Middle Eastern,1421,5.124028583857616e-4,0.014866693632024714,0,0,0,0,0.552710843373494
APOE,Remaining,1421,5.993964996892841e-4,0.016830606378930794,0,0,0,0,0.6152866537001018
APOE,South Asian,1421,5.026866286572464e-4,0.014185440462044762,0,0,0,0,0.5229721994076507
CYP2C19,Admixed American,2225,0.0010963991047770417,0.029085349664267842,0,0,0,0,0.9600466511162946
CYP2C19,African/African American,2225,0.0013410380876927432,0.02924702899489304,0,0,0,0,0.9875386501759248
CYP2C19,Amish,2225,0.0012242782843019397,0.030101008602295226,0,0,0,0,0.9703947368421052
CYP2C19,Ashkenazi Jewish,2225,0.0010808242301063463,0.028037742684104045,0,0,0,0,0.9183328830045934
CYP2C19,East Asian,2225,0.0014994992569293576,0.030501020049359482,0,0,0,0,0.9600935828877004
CYP2C19,European (Finnish),2225,0.0012054976897633754,0.029246002653388274,0,0,0,0,0.9440348630158384
CYP2C19,European (non-Finnish),2225,0.0011378721751400059,0.028746504428965692,0,0,8.479563404239442e-7,2.565233898026822e-6,0.9377479851865662
CYP2C19,Middle Eastern,2225,0.0010639787564524054,0.028054262919980772,0,0,0,0,0.9275816562190696
CYP2C19,Remaining,2225,0.0011811298419931457,0.028796190247761807,0,0,0,0,0.9388218731001824
CYP2C19,South Asian,2225,0.00143429433821623,0.029912714933731314,0,0,0,0,0.8894354289729682
HLA-B,Admixed American,1682,0.01325317636442737,0.07010387357729572,0,0,0,0,0.8922811059907834
HLA-B,African/African American,1682,0.010625916797843575,0.054915733100948105,0,0,0,1.7331558537963697e-5,0.7941508723484373
HLA-B,Amish,1682,0.01034826791595852,0.06173160792637144,0,0,0,0,0.78125
HLA-B,Ashkenazi Jewish,1682,0.015645647547774685,0.08013721135270165,0,0,0,0,0.9395633372007172
HLA-B,East Asian,1682,0.014046656417392488,0.07218877481125764,0,0,0,0,0.8177857001386413
HLA-B,European (Finnish),1682,0.009073227448279975,0.05116034971906081,0,0,0,0,0.7288644176426032
HLA-B,European (non-Finnish),1682,0.010194146413435185,0.05617515805710855,0,9.010691757897903e-7,1.4310491887729367e-6,6.319626594804302e-6,0.7569178616505421
HLA-B,Middle Eastern,1682,0.01476420189108344,0.07482554216649395,0,0,0,0,0.9280494659921305
HLA-B,Remaining,1682,0.011616719274315112,0.06109636339539093,0,0,0,1.2123367386525282e-5,0.8059061080262494
HLA-B,South Asian,1682,0.016050626237516075,0.08124429810788741,0,0,0,2.2113379563099497e-5,0.9332542911805124
