Gene,Population,count,mean,std,min,25%,50%,75%,max
APOE,Admixed American,1421.0,0.00051042,0.0151981,0.0,0.0,0.0,0.0,0.56186212
APOE,African/African American,1421.0,0.00088558,0.02371823,0.0,0.0,0.0,0.0,0.85962559
APOE,Amish,1421.0,0.00059437,0.01882099,0.0,0.0,0.0,0.0,0.69627193
APOE,Ashkenazi Jewish,1421.0,0.00059357,0.01704199,0.0,0.0,0.0,0.0,0.62674798
APOE,East Asian,1421.0,0.00042715,0.01133289,0.0,0.0,0.0,0.0,0.41144336
APOE,European (Finnish),1421.0,0.00069124,0.02003911,0.0,0.0,0.0,0.0,0.72917218
APOE,European (non-Finnish),1421.0,0.00062326,0.01760644,0.0,0.0,8.6e-07,2.54e-06,0.64179648
APOE,Middle Eastern,1421.0,0.0005124,0.01486669,0.0,0.0,0.0,0.0,0.55271084
APOE,Remaining,1421.0,0.0005994,0.01683061,0.0,0.0,0.0,0.0,0.61528665
APOE,South Asian,1421.0,0.00050269,0.01418544,0.0,0.0,0.0,0.0,0.5229722
CYP2C19,Admixed American,2225.0,0.0010964,0.02908535,0.0,0.0,0.0,0.0,0.96004665
CYP2C19,African/African American,2225.0,0.00134104,0.02924703,0.0,0.0,0.0,0.0,0.98753865
CYP2C19,Amish,2225.0,0.00122428,0.03010101,0.0,0.0,0.0,0.0,0.97039474
CYP2C19,Ashkenazi Jewish,2225.0,0.00108082,0.02803774,0.0,0.0,0.0,0.0,0.91833288
CYP2C19,East Asian,2225.0,0.0014995,0.03050102,0.0,0.0,0.0,0.0,0.96009358
CYP2C19,European (Finnish),2225.0,0.0012055,0.029246,0.0,0.0,0.0,0.0,0.94403486
CYP2C19,European (non-Finnish),2225.0,0.00113787,0.0287465,0.0,0.0,8.5e-07,2.57e-06,0.93774799
CYP2C19,Middle Eastern,2225.0,0.00106398,0.02805426,0.0,0.0,0.0,0.0,0.92758166
CYP2C19,Remaining,2225.0,0.00118113,0.02879619,0.0,0.0,0.0,0.0,0.93882187
CYP2C19,South Asian,2225.0,0.00143429,0.02991271,0.0,0.0,0.0,0.0,0.88943543
HLA-B,Admixed American,1682.0,0.01325318,0.07010387,0.0,0.0,0.0,0.0,0.89228111
HLA-B,African/African American,1682.0,0.01062592,0.05491573,0.0,0.0,0.0,1.733e-05,0.79415087
HLA-B,Amish,1682.0,0.01034827,0.06173161,0.0,0.0,0.0,0.0,0.78125
HLA-B,Ashkenazi Jewish,1682.0,0.01564565,0.08013721,0.0,0.0,0.0,0.0,0.93956334
HLA-B,East Asian,1682.0,0.01404666,0.07218877,0.0,0.0,0.0,0.0,0.8177857
HLA-B,European (Finnish),1682.0,0.00907323,0.05116035,0.0,0.0,0.0,0.0,0.72886442
HLA-B,European (non-Finnish),1682.0,0.01019415,0.05617516,0.0,9e-07,1.43e-06,6.32e-06,0.75691786
HLA-B,Middle Eastern,1682.0,0.0147642,0.07482554,0.0,0.0,0.0,0.0,0.92804947
HLA-B,Remaining,1682.0,0.01161672,0.06109636,0.0,0.0,0.0,1.212e-05,0.80590611
HLA-B,South Asian,1682.0,0.01605063,0.0812443,0.0,0.0,0.0,2.211e-05,0.93325429
